"id","artists"
"107246","Carrie Mae Weems"
"107246","Dan Graham"
"107246","Lorna Simpson"
"107246","Vito Acconci"
"107971","Alice Aycock"
"107971","Dan Graham"
"107971","Liam Gillick"
"107971","Lorna Simpson"
"107971","Vito Acconci"
"108126","Alice Aycock"
"108126","Dan Graham"
"108126","Liam Gillick"
"108126","Lorna Simpson"
"108126","Vito Acconci"
"108176","Angela Bulloch"
"108339","Alice Aycock"
"108339","Dan Graham"
"108339","Liam Gillick"
"108339","Lorna Simpson"
"108339","Vito Acconci"
"108356","Liam Gillick"
"108356","Martha Rosler"
"109455","Hito Steyerl"
"109455","Tania Bruguera"
"109788","Hito Steyerl"
"110868","Dana Schutz"
"110868","Mark Dion"
"110868","Taryn Simon"
"110868","Vik Muniz"
"110868","Walid Raad"
"525111","Ashley Bickerton"
"244177","Julie Mehretu"
"10050","David Diao"
"10050","Lawrence Weiner"
"10050","Tatsuo Miyajima"
"10050","Tracey Emin"
"11492","Shilpa Gupta"
"11492","Walid Raad"
"110691","Martha Rosler"
"510356","Ali Cherri"
"385850","Lee Ufan"
"379867","Hiwa K"
"367261","Yoshitomo Nara"
"306338","Meret Oppenheim"
"306338","Siah Armajani"
"306328","Felix Gonzalez-Torres"
"229939","Alfredo Jaar"
"229939","Antony Gormley"
"229938","Leo Valledor"
"170251","Ma Qiusha"
"170250","Ahmed Mater"
"170249","Ahmed Mater"
"170248","Danh Vō"
"170248","Yayoi Kusama"
"170247","Jimmie Durham"
"170246","Song Dong"
"170246","Yayoi Kusama"
"184593","Nalini Malani"
"184593","Zhang Huan"
"184634","Anthony Caro"
"184936","Etel Adnan"
"185830","Huang Yong Ping"
"186123","Tony Albert"
"186123","Xu Bing"
"186372","Alan Kane"
"186372","Ashley Bickerton"
"186372","Dayanita Singh"
"186372","Richard Prince"
"186372","Subodh Gupta"
"186537","Etel Adnan"
"186691","Bhupen Khakhar"
"186742","Ashley Bickerton"
"186742","Mona Hatoum"
"186742","Nalini Malani"
"186834","Ai Weiwei"
"186834","Kimsooja"
"186834","Shilpa Gupta"
"186940","Andy Warhol"
"186940","Etel Adnan"
"186940","Liu Ding"
"187311","Atsuko Tanaka"
"187708","Sarah Morris"
"187708","Wang Keping"
"188097","Ashley Bickerton"
"188097","Cao Fei"
"188189","Lee Ufan"
"534616","Abraham Palatnik"
"534616","Cildo Meireles"
"534616","Heinz Mack"
"534616","Jac Leirner"
"534616","Lygia Pape"
"534616","Rosângela Rennó"
"534616","Tomie Ohtake"
"462911","Alfredo Jaar"
"462911","Anna Bella Geiger"
"462911","Cildo Meireles"
"462911","Kishio Suga"
"462911","Laura Lima"
"462911","Lygia Clark"
"462911","Lygia Pape"
"462911","Mira Schendel"
"462911","Robert Rauschenberg"
"392144","Adriana Varejão"
"392144","Ernesto Neto"
"392144","Lynda Benglis"
"392143","Lynda Benglis"
"185525","Alfredo Volpi"
"185525","Cildo Meireles"
"185525","François Morellet"
"185525","Laura Lima"
"185525","Leon Ferrari"
"185525","Lygia Clark"
"185525","Marcelo Cidade"
"185525","Mira Schendel"
"185525","Regina Silveira"
"185525","Robert Rauschenberg"
"185525","Tomie Ohtake"
"186983","Marcelo Cidade"
"186983","Marina Abramović"
"186983","Regina Silveira"
"451122","Ali Cherri"
"451122","Dayanita Singh"
"451122","Jitish Kallat"
"451121","Ali Cherri"
"451121","Iman Issa"
"451121","Jason Wee"
"451121","Jitish Kallat"
"451121","Jumana Manna"
"193662","Dieter Roth"
"193662","Lawrence Weiner"
"196355","Barthélémy Toguo"
"196355","Jitish Kallat"
"196355","Marlene Dumas"
"196355","Shilpa Gupta"
"196355","Shirin Neshat"
